2Theta_deg,Intensity_cps
12.67252,171.44
12.68324,0.0
12.69396,171.44
12.70467,0.0
12.71539,171.48
12.7261,0.0
12.73682,171.54
12.74754,0.0
12.75825,171.58
12.76897,0.0
12.77968,171.53
12.7904,0.0
12.80111,171.28
12.81183,0.0
12.82255,171.02
12.83326,0.0
12.84398,171.26
12.85469,0.0
12.86541,171.58
12.87613,0.0
12.88684,171.58
12.89756,0.0
12.90827,171.5
12.91899,0.0
12.9297,171.16
12.94042,0.0
12.95114,171.1
12.96185,0.0
12.97257,171.12
12.98328,0.0
12.994,171.04
13.00471,0.0
13.01543,171.26
13.02615,0.0
13.03686,171.36
13.04758,0.0
13.05829,171.57
13.06901,0.0
13.07973,171.5
13.09044,0.0
13.10116,171.5
13.11187,0.0
13.12259,171.48
13.1333,0.0
13.14402,171.54
13.15474,0.0
13.16545,171.57
13.17617,0.0
13.18688,171.38
13.1976,0.0
13.20832,171.3
13.21903,0.0
13.22975,171.53
13.24046,0.0
13.25118,171.57
13.26189,0.0
13.27261,171.52
13.28333,0.0
13.29404,171.32
13.30476,0.0
13.31547,171.4
13.32619,0.0
13.33691,171.44
13.34762,0.0
13.35834,171.4
13.36905,0.0
13.37977,171.42
13.39048,0.0
13.4012,171.32
13.41192,0.0
13.42263,170.98
13.43335,0.0
13.44406,171.53
13.45478,0.0
13.4655,171.3
13.47621,0.0
13.48693,171.24
13.49764,0.0
13.50836,171.28
13.51907,0.0
13.52979,171.28
13.54051,0.0
13.55122,171.34
13.56194,0.0
13.57265,171.34
13.58337,0.0
13.59408,171.24
13.6048,0.0
13.61552,171.38
13.62623,0.0
13.63695,171.48
13.64766,0.0
13.65838,171.59
13.6691,0.0
13.67981,171.6
13.69053,0.0
13.70124,171.55
13.71196,0.0
13.72267,171.46
13.73339,0.0
13.74411,171.16
13.75482,0.0
13.76554,170.88
13.77625,0.0
13.78697,171.18
13.79769,0.0
13.8084,171.22
13.81912,0.0
13.82983,171.2
13.84055,0.0
13.85126,171.38
13.86198,0.0
13.8727,171.4
13.88341,0.0
13.89413,171.48
13.90484,0.0
13.91556,171.26
13.92628,0.0
13.93699,171.4
13.94771,0.0
13.95842,171.48
13.96914,0.0
13.97985,171.46
13.99057,0.0
14.00129,171.5
14.012,0.0
14.02272,171.28
14.03343,0.0
14.04415,171.38
14.05486,0.0
14.06558,171.28
14.0763,0.0
14.08701,171.36
14.09773,0.0
14.10844,171.52
14.11916,0.0
14.12988,171.38
14.14059,0.0
14.15131,171.1
14.16202,0.0
