2Theta_deg,Intensity_cps
10.21786,0.0
10.22857,171.55
10.23929,0.0
10.25,171.53
10.26072,0.0
10.27143,171.36
10.28214,0.0
10.29286,171.28
10.30357,0.0
10.31429,171.4
10.325,0.0
10.33572,171.48
10.34643,0.0
10.35714,171.53
10.36786,0.0
10.37857,171.63
10.38929,0.0
10.4,171.5
10.41072,0.0
10.42143,171.55
10.43215,0.0
10.44286,171.56
10.45357,0.0
10.46429,171.42
10.475,0.0
10.48572,171.56
10.49643,0.0
10.50715,171.42
10.51786,0.0
10.52857,171.54
10.53929,0.0
10.55,171.58
10.56072,0.0
10.57143,170.98
10.58215,0.0
10.59286,171.24
10.60357,0.0
10.61429,171.4
10.625,0.0
10.63572,171.32
10.64643,0.0
10.65715,171.55
10.66786,0.0
10.67857,171.42
10.68929,0.0
10.7,171.38
10.71072,0.0
10.72143,171.18
10.73215,0.0
10.74286,171.46
10.75357,0.0
10.76429,171.48
10.775,0.0
10.78572,171.52
10.79643,0.0
10.80715,171.54
10.81786,0.0
10.82857,171.52
10.83929,0.0
10.85,171.38
10.86072,0.0
10.87143,171.56
10.88215,0.0
10.89286,171.57
10.90357,0.0
10.91429,171.32
10.925,0.0
10.93572,171.38
10.94643,0.0
10.95715,171.28
10.96786,0.0
10.97857,171.4
10.98929,0.0
11.0,171.64
11.01072,0.0
11.02143,171.46
11.03215,0.0
11.04286,171.48
11.05357,0.0
11.06429,171.38
11.075,0.0
11.08572,171.62
11.09643,0.0
11.10715,171.74
11.11786,0.0
11.12857,171.57
11.13929,0.0
11.15,171.55
11.16072,0.0
11.17143,171.55
11.18215,0.0
11.19286,171.42
11.20357,0.0
11.21429,171.46
11.225,0.0
11.23572,171.46
11.24643,0.0
11.25715,171.28
11.26786,0.0
11.27857,171.38
11.28929,0.0
11.3,171.5
11.31072,0.0
11.32143,171.32
11.33215,0.0
11.34286,171.2
11.35357,0.0
11.36429,171.53
11.375,0.0
11.38572,171.46
11.39643,0.0
11.40715,171.54
11.41786,0.0
11.42857,171.53
11.43929,0.0
11.45,171.46
11.46072,0.0
11.47143,171.55
11.48215,0.0
11.49286,171.46
11.50357,0.0
11.51429,171.34
11.525,0.0
11.53572,171.55
11.54643,0.0
11.55715,171.55
11.56786,0.0
11.57857,171.2
11.58929,0.0
11.6,171.53
11.61072,0.0
11.62143,171.46
11.63215,0.0
11.64286,171.4
11.65357,0.0
11.66429,171.12
11.675,0.0
11.68572,171.28
11.69643,0.0
11.70715,171.42
11.71786,0.0
11.72857,171.26
11.73929,0.0
11.75,171.3
11.76072,0.0
11.77143,171.28
11.78215,0.0
11.79286,171.44
11.80357,0.0
11.81429,171.48
11.825,0.0
11.83572,171.22
11.84643,0.0
11.85715,171.52
11.86786,0.0
11.87857,171.69
11.88929,0.0
11.9,171.56
11.91072,0.0
11.92143,171.5
11.93215,0.0
11.94286,171.46
11.95357,0.0
11.96429,171.52
11.975,0.0
11.98572,171.46
11.99643,0.0
12.00715,171.32
12.01786,0.0
12.02857,171.56
12.03929,0.0
12.05,171.22
12.06072,0.0
12.07143,171.16
12.08215,0.0
12.09286,171.36
12.10357,0.0
12.11429,171.48
12.125,0.0
12.13572,171.52
12.14643,0.0
12.15715,171.54
12.16786,0.0
12.17857,171.28
12.18929,0.0
12.2,171.44
12.21072,0.0
12.22143,171.26
12.23215,0.0
12.24286,171.12
12.25357,0.0
12.26429,171.28
12.275,0.0
12.28572,171.18
12.29643,0.0
12.30715,171.2
12.31786,0.0
12.32857,171.32
12.33929,0.0
12.35,171.44
12.36072,0.0
12.37143,171.46
12.38215,0.0
12.39286,171.42
12.40357,0.0
12.41429,171.26
12.425,0.0
12.43572,171.4
12.44643,0.0
12.45715,171.3
12.46786,0.0
12.47857,171.32
12.48929,0.0
12.5,171.44
12.51072,0.0
12.52143,171.04
12.53215,0.0
12.54286,171.38
12.55357,0.0
12.56429,171.42
12.575,0.0
12.58572,171.52
12.59643,0.0
12.60715,171.46
12.61786,0.0
12.62857,171.34
12.63929,0.0
12.65,171.4
12.66072,0.0
12.67143,171.44
12.68215,0.0
12.69286,171.44
12.70357,0.0
12.71429,171.48
12.725,0.0
12.73572,171.54
12.74643,0.0
12.75715,171.58
12.76786,0.0
12.77857,171.53
12.78929,0.0
12.8,171.28
12.81072,0.0
12.82143,171.02
12.83215,0.0
12.84286,171.26
12.85357,0.0
12.86429,171.58
12.875,0.0
12.88572,171.58
12.89643,0.0
12.90715,171.5
12.91786,0.0
12.92857,171.16
12.93929,0.0
12.95,171.1
12.96072,0.0
12.97143,171.12
12.98215,0.0
12.99286,171.04
13.00357,0.0
13.01429,171.26
13.025,0.0
13.03572,171.36
13.04643,0.0
13.05715,171.57
13.06786,0.0
13.07857,171.5
13.08929,0.0
13.1,171.5
13.11072,0.0
13.12143,171.48
13.13215,0.0
13.14286,171.54
13.15357,0.0
13.16429,171.57
13.175,0.0
13.18572,171.38
13.19643,0.0
13.20715,171.3
13.21786,0.0
13.22857,171.53
13.23929,0.0
13.25,171.57
13.26072,0.0
13.27143,171.52
13.28215,0.0
13.29286,171.32
13.30357,0.0
13.31429,171.4
