2Theta_deg,Intensity_cps
10.66867,171.28
10.67938,171.2
10.6901,171.26
10.70081,171.22
10.71153,171.14
10.72225,171.06
10.73296,171.18
10.74368,171.2
10.75439,171.08
10.76511,171.26
10.77583,171.54
10.78654,171.16
10.79726,170.98
10.80797,171.14
10.81869,171.56
10.8294,171.36
10.84012,171.38
10.85084,171.54
10.86155,171.4
10.87227,171.16
10.88298,171.36
10.8937,171.02
10.90441,171.24
10.91513,171.54
10.92585,171.32
10.93656,171.14
10.94728,171.38
10.95799,171.54
10.96871,171.3
10.97943,171.5
10.99014,170.96
11.00086,171.0
11.01157,171.12
11.02229,171.22
11.033,171.34
11.04372,171.22
11.05444,170.94
11.06515,171.14
11.07587,171.48
11.08658,171.38
11.0973,171.44
11.10802,171.16
11.11873,171.42
11.12945,171.14
11.14016,171.24
11.15088,171.42
11.16159,171.3
11.17231,171.18
11.18303,171.22
11.19374,171.24
11.20446,171.08
11.21517,171.28
11.22589,170.9
11.23661,170.98
11.24732,171.26
11.25804,171.3
11.26875,171.08
11.27947,171.38
11.29018,171.38
11.3009,171.32
11.31162,171.1
11.32233,171.12
11.33305,170.94
11.34376,171.18
11.35448,171.24
11.3652,171.08
11.37591,170.98
11.38663,171.08
11.39734,171.28
11.40806,171.1
11.41877,171.08
11.42949,171.06
11.44021,170.92
11.45092,171.44
11.46164,171.28
11.47235,171.44
11.48307,171.18
11.49378,171.46
11.5045,171.48
11.51522,171.34
11.52593,171.22
11.53665,171.36
11.54736,171.1
11.55808,170.98
11.5688,171.22
11.57951,171.36
11.59023,171.22
11.60094,171.32
11.61166,171.28
11.62237,171.32
11.63309,171.52
11.64381,171.48
11.65452,171.36
11.66524,171.2
11.67595,171.24
11.68667,171.14
11.69739,171.14
11.7081,171.42
11.71882,171.55
11.72953,171.5
11.74025,171.46
11.75096,171.16
11.76168,171.44
11.7724,171.42
11.78311,171.32
11.79383,171.32
11.80454,171.32
11.81526,171.26
11.82598,171.48
11.83669,171.53
11.84741,171.38
11.85812,171.46
11.86884,171.53
11.87955,171.02
11.89027,171.14
11.90099,171.06
11.9117,171.22
11.92242,171.14
11.93313,171.3
11.94385,171.34
11.95456,170.88
11.96528,171.3
11.976,171.1
11.98671,171.4
11.99743,171.4
12.00814,171.18
12.01886,171.0
12.02958,171.04
12.04029,171.18
12.05101,171.24
12.06172,171.02
12.07244,171.14
12.08315,171.16
12.09387,170.9
12.10459,171.18
12.1153,171.38
12.12602,171.24
12.13673,171.46
12.14745,171.56
12.15817,171.48
12.16888,171.32
12.1796,171.18
12.19031,171.26
12.20103,171.26
12.21174,171.24
12.22246,171.52
12.23318,171.4
12.24389,171.2
12.25461,171.32
12.26532,171.3
12.27604,171.08
12.28676,170.96
12.29747,171.0
12.30819,171.12
12.3189,171.0
12.32962,171.2
12.34033,171.52
12.35105,171.14
12.36177,170.94
12.37248,171.4
12.3832,171.3
12.39391,171.18
12.40463,171.26
12.41535,171.2
12.42606,171.24
12.43678,171.28
12.44749,171.08
12.45821,171.34
12.46892,171.34
12.47964,171.46
12.49036,171.08
12.50107,171.12
12.51179,171.44
12.5225,171.26
12.53322,171.0
12.54393,171.02
12.55465,171.3
12.56537,171.06
12.57608,171.2
12.5868,171.22
12.59751,171.16
12.60823,171.18
12.61895,171.24
12.62966,171.02
12.64038,171.14
12.65109,171.26
12.66181,171.0
12.67252,171.18
12.68324,171.22
12.69396,171.24
12.70467,171.1
12.71539,170.82
12.7261,170.9
12.73682,171.14
12.74754,171.02
12.75825,170.86
12.76897,171.06
12.77968,171.24
12.7904,171.3
12.80111,171.1
12.81183,171.16
12.82255,171.12
12.83326,171.16
12.84398,171.24
12.85469,171.18
12.86541,171.1
12.87613,171.28
12.88684,171.12
12.89756,170.96
12.90827,171.08
12.91899,171.28
12.9297,171.4
12.94042,171.48
12.95114,171.18
12.96185,171.24
12.97257,171.46
12.98328,171.38
12.994,171.36
13.00471,170.98
13.01543,170.94
13.02615,170.92
13.03686,171.08
13.04758,171.06
13.05829,171.24
13.06901,171.24
13.07973,171.18
13.09044,171.3
13.10116,171.42
13.11187,171.16
13.12259,171.3
13.1333,171.14
13.14402,171.08
13.15474,171.26
13.16545,171.12
13.17617,171.28
13.18688,171.55
13.1976,171.4
13.20832,171.5
13.21903,171.4
13.22975,171.44
13.24046,171.34
13.25118,171.46
13.26189,171.58
13.27261,171.4
13.28333,171.16
13.29404,171.26
13.30476,171.44
13.31547,171.48
13.32619,171.28
13.33691,171.46
13.34762,171.26
13.35834,171.53
13.36905,171.69
13.37977,171.6
13.39048,171.46
13.4012,171.55
13.41192,171.38
13.42263,171.12
13.43335,171.1
13.44406,171.24
13.45478,171.24
13.4655,170.96
13.47621,171.1
13.48693,171.1
13.49764,171.32
13.50836,171.38
13.51907,171.14
13.52979,171.18
13.54051,171.02
13.55122,170.92
13.56194,171.04
13.57265,171.2
13.58337,171.08
13.59408,171.14
13.6048,171.2
13.61552,171.1
13.62623,171.32
13.63695,171.38
13.64766,171.14
13.65838,170.9
13.6691,171.18
13.67981,171.14
13.69053,171.18
13.70124,171.12
13.71196,170.88
13.72267,171.18
13.73339,171.28
13.74411,171.5
13.75482,171.2
13.76554,170.9
13.77625,170.82
13.78697,171.28
13.79769,171.2
13.8084,171.12
13.81912,171.26
13.82983,171.26
13.84055,171.38
13.85126,171.4
13.86198,171.36
13.8727,171.12
13.88341,171.08
13.89413,171.18
13.90484,171.28
13.91556,171.08
13.92628,171.02
13.93699,171.2
13.94771,171.14
13.95842,171.38
13.96914,171.24
13.97985,171.18
13.99057,170.94
14.00129,171.18
14.012,170.88
14.02272,171.14
14.03343,171.28
14.04415,171.12
14.05486,171.16
14.06558,171.5
14.0763,171.53
14.08701,171.16
14.09773,171.28
14.10844,171.3
14.11916,171.16
14.12988,171.26
14.14059,171.1
14.15131,171.28
14.16202,171.16
14.17274,171.18
14.18345,171.04
14.19417,171.06
14.20489,171.32
14.2156,171.26
14.22632,171.44
14.23703,171.14
14.24775,171.1
14.25847,171.04
14.26918,170.96
14.2799,171.04
14.29061,171.2
14.30133,171.5
14.31204,171.52
14.32276,171.3
14.33348,171.32
14.34419,171.26
14.35491,171.2
14.36562,171.2
14.37634,171.58
14.38706,171.59
14.39777,171.32
14.40849,171.22
14.4192,171.22
14.42992,171.04
14.44063,171.06
14.45135,171.22
14.46207,171.04
14.47278,171.06
14.4835,171.08
14.49421,171.2
14.50493,171.1
14.51565,171.26
14.52636,171.06
14.53708,170.9
14.54779,171.0
14.55851,171.16
14.56922,171.2
14.57994,171.28
14.59066,171.4
14.60137,171.38
14.61209,171.5
14.6228,171.3
14.63352,171.34
14.64423,171.42
14.65495,171.32
14.66567,171.26
14.67638,171.1
14.6871,171.16
14.69781,171.04
14.70853,171.3
14.71925,171.32
14.72996,171.24
14.74068,171.38
14.75139,171.24
14.76211,171.08
14.77282,171.08
14.78354,171.28
14.79426,171.12
14.80497,171.2
14.81569,171.08
14.8264,170.9
14.83712,170.94
14.84784,171.18
14.85855,171.08
14.86927,171.2
14.87998,171.06
14.8907,171.08
14.90141,170.94
14.91213,170.94
14.92285,171.2
14.93356,171.28
14.94428,171.28
14.95499,171.38
14.96571,170.92
14.97643,170.96
14.98714,171.16
14.99786,171.24
15.00857,171.22
15.01929,171.24
15.03,171.53
15.04072,171.28
15.05144,170.98
15.06215,170.94
15.07287,170.66
15.08358,171.0
15.0943,171.24
15.10502,170.98
15.11573,171.06
15.12645,171.16
15.13716,171.14
15.14788,170.96
15.15859,171.02
15.16931,171.14
15.18003,171.16
15.19074,171.16
15.20146,171.16
15.21217,170.92
15.22289,171.0
15.2336,171.22
15.24432,171.1
15.25504,171.0
15.26575,170.98
15.27647,171.2
15.28718,170.96
15.2979,171.12
15.30862,171.1
15.31933,171.3
15.33005,171.42
15.34076,170.8
15.35148,171.04
15.36219,171.2
15.37291,171.0
15.38363,170.96
15.39434,171.14
15.40506,171.2
15.41577,171.32
15.42649,171.1
15.43721,171.2
15.44792,171.34
15.45864,171.18
15.46935,171.0
15.48007,171.16
15.49078,171.08
15.5015,171.08
15.51222,171.02
15.52293,171.12
15.53365,171.14
15.54436,171.14
15.55508,171.12
15.5658,171.34
15.57651,170.94
15.58723,171.4
15.59794,171.3
15.60866,171.12
15.61937,170.92
15.63009,170.98
15.64081,171.16
15.65152,171.04
15.66224,171.04
15.67295,171.0
15.68367,171.08
15.69438,171.24
15.7051,171.26
15.71582,171.02
15.72653,171.06
15.73725,171.26
15.74796,171.12
15.75868,171.06
15.7694,170.94
15.78011,171.02
15.79083,171.18
15.80154,171.18
15.81226,170.98
15.82297,171.18
15.83369,171.28
15.84441,171.26
15.85512,171.06
15.86584,171.16
15.87655,171.18
15.88727,171.0
15.89799,171.2
15.9087,171.18
15.91942,171.08
15.93013,171.26
15.94085,171.38
15.95156,171.08
15.96228,171.1
15.973,171.1
15.98371,171.26
